Treatment,Timepoint,Sample,Area,Centroid,Equivalent Diameter,Major Axis Length,Minor Axis Length,Perimeter,Solidity,Eccentricity,Roundness
Control,TIMEPOINT 1 T 0 MIN,C1_T1.czi,191063,"(551.1302292960961, 693.6928814056097)",493.2230399,620.8281107,392.5172713,1795.866233,0.983163095,0.774766151,0.744455062
Control,TIMEPOINT 1 T 0 MIN,C2_T1.czi,173080,"(526.78636468685, 726.1338456205223)",469.4382818,677.2435808,326.0361439,1736.920056,0.987003804,0.876492032,0.720936627
Control,TIMEPOINT 1 T 0 MIN,C3_T1.czi,139314,"(666.6038660866819, 688.3021447952108)",421.1651623,651.2917872,275.312785,1689.866233,0.949762413,0.906261255,0.61305575
Control,TIMEPOINT 1 T 0 MIN,C4_T1.czi,197740,"(585.9283301304744, 577.6294073025184)",501.7672644,696.0437095,362.7692117,1971.856131,0.969356491,0.853442261,0.639078112
Control,TIMEPOINT 1 T 0 MIN,C5_T1.czi,202101,"(586.5242230369963, 674.3319033552531)",507.2701304,599.5650501,429.6499326,1769.238816,0.987452912,0.697481593,0.81134471
Control,TIMEPOINT 2 T 45 MIN,C1_T2.czi,164326,"(606.9042208780107, 554.144937502282)",457.4126818,608.1613949,345.3137984,1634.9373,0.986883671,0.823166819,0.772527492
Control,TIMEPOINT 2 T 45 MIN,C2_T2.czi,180682,"(612.62717924309, 582.0995782645754)",479.6368078,686.7073751,335.5812747,1749.304833,0.992093212,0.872462189,0.741982669
Control,TIMEPOINT 2 T 45 MIN,C3_T2.czi,140987,"(646.9451793427763, 667.3287749934391)",423.6864686,659.5360365,277.2446391,1913.044948,0.90936474,0.907355956,0.484103904
Control,TIMEPOINT 2 T 45 MIN,C4_T2.czi,175559,"(636.2922094566499, 673.9550407555295)",472.788178,637.0456906,352.0316781,1940.861182,0.956667448,0.833446364,0.585657911
Control,TIMEPOINT 2 T 45 MIN,C5_T2.czi,212981,"(628.8230593339312, 605.6228255102568)",520.7454575,605.1510155,448.5400776,1798.108873,0.98818251,0.671280348,0.827787297
Control,TIMEPOINT 3 T 90 MIN,C1_T3.czi,148901,"(615.174142551091, 560.7375504529855)",435.4154814,590.9077391,323.173585,1574.410388,0.984853596,0.837191149,0.75486899
Control,TIMEPOINT 3 T 90 MIN,C2_T3.czi,128802,"(583.2677132342666, 644.9322137855003)",404.9639488,602.9118133,273.589543,1534.327127,0.974149145,0.891113562,0.687537742
Control,TIMEPOINT 3 T 90 MIN,C3_T3.czi,137523,"(658.752106920297, 720.2970412221956)",418.4491868,663.936815,267.079804,1836.008368,0.923481379,0.915522442,0.512667621
Control,TIMEPOINT 3 T 90 MIN,C4_T3.czi,170250,"(648.7717063142437, 603.8818032305434)",465.5846137,634.1541544,343.4573367,1853.842892,0.943077451,0.840636893,0.62251688
