TREATMENT,TR,LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Control,CTR7,Track_506,0,0,15,0,0,0,0,0,25206.93764,0,25206.93764,27.07174923,321.0590899,610.4976115,0,0.003303802,0.012059922,2.16E-04,0.003698725,0.003108035,1.341293327,83.2787277,47.27553819,0.325074001,0.00107398,0.325074001,6.17E-04
Control,CTR7,Track_507,1,1,15,0,0,0,0,0,25206.93764,0,25206.93764,37.21343784,535.0253452,621.4915876,0,0.002167451,0.0066612,4.48E-04,0.001281214,0.00215668,1.422529872,54.63479279,39.19212648,0.681130758,0.001476317,0.681130758,5.26E-04
Control,CTR7,Track_508,2,2,15,0,0,0,0,0,25206.93764,0,25206.93764,18.84652266,570.1463088,621.5021848,0,0.001702168,0.004548646,2.08E-04,0.001562352,0.001096145,1.418423223,42.90643171,18.84652266,0.439247029,7.48E-04,0.439247029,9.33E-04
Control,CTR7,Track_510,4,4,15,0,0,0,0,0,25206.93764,0,25206.93764,2.577651103,565.3769306,647.870662,0,0.001368493,0.003258773,3.62E-04,0.001102754,8.93E-04,1.211958011,34.49551434,7.31461503,0.07472424,1.02E-04,0.07472424,8.36E-04
Control,CTR7,Track_511,5,5,15,0,0,0,0,0,25206.93764,0,25206.93764,15.2927158,306.4242133,666.0852921,0,0.00126582,0.00312635,4.76E-04,0.001118175,7.33E-04,1.313468719,31.90745117,15.2927158,0.479283529,6.07E-04,0.479283529,8.47E-04
Control,CTR7,Track_512,6,6,15,0,0,0,0,0,25206.93764,0,25206.93764,10.61822019,572.7947044,659.8006281,0,0.001998539,0.003914608,5.64E-04,0.002116912,9.67E-04,1.134795952,50.37704128,11.38892694,0.210774986,4.21E-04,0.210774986,5.37E-04
Control,CTR7,Track_513,7,7,15,0,0,0,0,0,25206.93764,0,25206.93764,27.12536497,326.6821669,675.6987601,0,0.001871401,0.012850795,1.11E-04,0.001150282,0.003257228,1.495153308,47.1722969,28.71718579,0.575027437,0.001076107,0.575027437,8.67E-04
Control,CTR7,Track_514,8,8,15,0,0,0,0,0,25206.93764,0,25206.93764,13.6963486,336.2183392,118.1209419,0,9.21E-04,0.002247766,2.17E-04,9.00E-04,6.11E-04,1.452204029,23.21275627,15.60475791,0.590035429,5.43E-04,0.590035429,3.57E-04
Control,CTR7,Track_515,9,9,15,0,0,0,0,0,25206.93764,0,25206.93764,25.96929113,561.194169,674.0993762,0,0.001803075,0.003490624,7.55E-04,0.001731414,9.05E-04,1.366805657,45.44999085,25.96929113,0.571381658,0.001030244,0.571381658,5.61E-04
Control,CTR7,Track_516,10,10,15,0,0,0,0,0,25206.93764,0,25206.93764,12.34726423,543.5122757,135.3791745,0,0.001511651,0.003029609,3.59E-04,0.001553988,8.86E-04,1.539780132,38.10409938,12.34726423,0.324040311,4.90E-04,0.324040311,7.19E-04
