LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinment ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_2,2,2,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,8.60744861107037,677.0485874952598,6487.342748738884,0.0,0.0020437293464409026,0.0036953663556315228,4.74144509498782E-4,0.0024991085394827283,0.001296472019647104,1.814667820930481,14.716102791250849,8.60744861107037,0.5849000060116288,0.0011953773070194262,0.5849000060116288,0.0013495584437117746
Track_4,4,4,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,6.307405747872213,177.61991051466748,6493.2960087649535,0.0,0.0014157366311403274,0.0027397297047403106,7.412280669965531E-4,0.0014192267540987233,8.01908167829642E-4,1.6580371686390467,10.19417068384436,7.9690506566751855,0.6187267158345837,8.759540762721721E-4,0.6187267158345836,0.0010015013181769099
Track_5,5,5,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,5.492917213949096,600.8015377619046,6490.222288272705,0.0,9.446359933924648E-4,0.0022999174019745577,2.443984282057613E-4,8.282520703054944E-4,7.202391071161415E-4,1.5941036428724016,6.801957609155878,5.492917213949096,0.8075494629009847,7.62840289101023E-4,0.8075494629009846,0.0011430285669066565
Track_8,8,8,6,0,0,0,0,0,6000.5102995,1200.1020599,7200.6123594,13.514275020145844,374.83717686026915,6522.311657368362,0.0,0.006437135823043182,0.01129912743635863,3.0195843571660056E-4,0.009673241492029357,0.0053595624463963374,1.8369866609573364,38.62609980545103,13.809723048891122,0.3498741806243319,0.002252187621654768,0.34987418062433195,0.001718364968369537
Track_9,9,9,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,7.559718711470235,272.7870935707707,6520.420769066707,0.0,0.0014389779298596334,0.002803816694923552,7.306613627366392E-4,0.0011850607584003026,7.960605060840619E-4,1.7644906044006348,10.361522266651102,8.510103492916855,0.7295953738189066,0.0010498716406530954,0.7295953738189065,7.109088461733461E-4
Track_12,12,12,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,13.805988517872544,169.27008355338532,6534.475346406921,0.0,0.0039054509450402227,0.008429879262840775,2.969426426694258E-4,0.005768520232674806,0.0034631057181322687,1.603106141090393,28.12163834388703,13.805988517872544,0.4909382714138216,0.0019173353360495225,0.49093827141382146,0.0011657325261766472
Track_14,14,14,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,8.569416753005733,549.377741868496,6547.367572497793,0.0,0.0027846699398607093,0.005376628915640477,7.001225665527899E-4,0.003499095739457983,0.0017807051419185301,1.745274203164237,20.051328785810682,8.87178984009413,0.42737400820387916,0.0011900955537231268,0.4273740082038793,0.0015295156884086042
Track_17,17,17,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,18.60529739811143,501.5361069178851,6553.193323993459,0.0,0.004906871803469081,0.009099332725116678,0.00189550518928033,0.007008171283679576,0.0032923594128463365,1.6902638333184379,35.33248175405083,22.653465138882904,0.5265777119089109,0.0025838493269010995,0.5265777119089108,8.323934892082024E-4
Track_18,18,18,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,6.516596821852152,163.85492773723624,6573.03373033754,0.0,0.0014255160022611604,0.0030016995580334177,5.528959893971641E-4,0.001312764121624616,8.957932792473264E-4,1.7399081332342965,10.26458814440419,7.612903866411615,0.6348619866842606,9.050059212457253E-4,0.6348619866842606,0.0010899783901829412
Track_19,19,19,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,5.438332608129285,706.5421781260618,6571.306974854105,0.0,0.0010470135440394182,0.002601519463284107,3.830721373187895E-4,8.803364253312031E-4,8.15263406145054E-4,1.868015272276742,7.539138665669431,5.780739850118996,0.7213466749051223,7.552597385734621E-4,0.7213466749051223,9.374669876652675E-4
Track_20,20,20,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,5.589470967440891,596.8527407872372,6593.915133139252,0.0,0.002120575534179765,0.003243785853405058,5.099013621236256E-4,0.002793151241397498,0.0012221736156637114,1.6646224090031214,15.269442400456072,6.5037409147196845,0.3660559973869081,7.762493921984492E-4,0.366055997386908,0.001389104637576475
Track_21,21,21,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,3.490216741728411,693.3754709384206,6593.183271670744,0.0,0.001355113394890482,0.002625305888107427,3.5992788513267273E-4,0.0011655748220988087,8.639691256999297E-4,1.7256817477090018,9.7576462596369,3.490216741728411,0.357690435670527,4.8471110060134353E-4,0.35769043567052705,0.0013809932044320252
Track_22,22,22,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,7.4171187180447795,625.2902012940006,6609.871582967643,0.0,0.0011221451779329116,0.002865174505116891,2.1646821236961412E-4,0.0010416120678507644,9.305103024689005E-4,1.8090416703905379,8.080132437264837,7.4171187180447795,0.9179451915710815,0.001030067770328192,0.9179451915710816,6.416700676664148E-4
Track_24,24,24,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,6.480674582859392,476.7210861925896,6632.171224841198,0.0,9.853682539093063E-4,0.0021533620573871734,3.644419414939954E-4,6.536247587917794E-4,7.003768763391231E-4,1.9663876124790736,7.0952548276597485,6.480674582859392,0.9133815120487977,9.000171456805658E-4,0.9133815120487978,6.775276920629222E-4
Track_26,26,26,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,5.957151635279648,246.52002087313812,6655.566914025187,0.0,0.0013563714369577132,0.002596283705425332,7.164572901228757E-4,0.0011299739189910825,7.022109836710847E-4,1.746405737740653,9.766704932894847,6.980929449610372,0.6099448766201183,8.273118087662248E-4,0.6099448766201182,0.001114479517205765
Track_29,29,29,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,8.878803822371838,461.32252706839876,6677.515966368995,0.0,0.002181228857451021,0.005027423818139689,5.763122241078903E-4,0.0021598882951126375,0.0015776030968893038,1.7418116160801478,15.706183469641761,9.839276477740977,0.5653062591261295,0.0012330623257035983,0.5653062591261294,0.0013064653449501686
Track_31,31,31,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,7.111519723622824,641.7890147964494,6677.873890156088,0.0,0.0029107769760132432,0.00520935191893035,4.663189335059061E-4,0.0041181823546604795,0.002043612161385489,1.7187541382653373,20.959376668937917,7.111519723622824,0.33930015362347077,9.876270751249551E-4,0.33930015362347077,0.0014188380807778243
Track_32,32,32,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,8.78106746223759,269.8316813932537,6702.493137669755,0.0,0.001972094422519096,0.0036299697412049236,5.421062638298397E-4,0.0022701301464665316,0.0011914666780761451,1.4832499027252197,14.200287472694807,8.78106746223759,0.618372513874974,0.0012194889856519486,0.618372513874974,0.0012365876841837651
Track_33,33,33,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,5.715470433824922,285.51095299948565,6701.984004270804,0.0,0.0013250241841868818,0.002617595897165638,6.066802592867764E-4,0.0014345591041148415,8.139684639904034E-4,1.6955845355987549,9.540985517159964,7.435578018497744,0.5990440320389699,7.937478298444565E-4,0.5990440320389699,9.8218565560865E-4
Track_35,35,35,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,8.556188270465196,617.6800709343443,6720.7111993351045,0.0,0.00182730694734553,0.004087583798716792,3.249255082453628E-4,0.0018393413089393084,0.0013777239985472295,1.761971354484558,13.157728989473707,8.556188270465196,0.6502784999835624,0.0011882584207293934,0.6502784999835622,0.0012092143073310433
Track_36,36,36,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,5.927044618142684,303.8639288183892,6744.846522169654,0.0,0.0015249908979891602,0.002518768622925425,9.993180835895233E-5,0.0016439247768668798,8.258963973846137E-4,1.8917269025530135,10.980868308033253,5.963939826708421,0.5397610145098132,8.231306342168602E-4,0.5397610145098132,0.0019796918278067537
Track_38,38,38,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,6.998457655589427,541.8933301313311,6750.899874610112,0.0,0.0013291808356487226,0.0025664409428025623,4.8254977210382215E-4,0.0012037724383568344,8.949266224658137E-4,1.6418843609946114,9.570915953049811,6.998457655589427,0.7312213052460607,9.719253455511085E-4,0.7312213052460605,0.0011310012015428809
Track_39,39,39,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,7.625649602870253,156.31625542267346,6745.57535119939,0.0,0.001568948391421147,0.0023183354402301786,9.46152224393926E-4,0.001713269547347861,5.270259348343338E-4,1.7742839711053031,11.29738917852786,8.201743133535807,0.674992202389892,0.0010590279301614385,0.6749922023898921,8.086680793347506E-4
Track_41,41,41,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,8.14937875655267,539.2677970330325,6787.1672057171,0.0,0.004308212750449,0.007646160512005912,5.72203804998203E-4,0.006902262636017129,0.0034038969452661635,1.6447110686983382,31.02176997780774,8.14937875655267,0.26269870360016684,0.0011317619043766615,0.26269870360016684,0.0013440047026832015
Track_43,43,43,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,5.737697231282605,679.8305764519383,6791.293375708106,0.0,0.0013353690112717287,0.0024588740341579965,4.353090867811539E-4,0.0015184540990742794,7.369308736684349E-4,1.8489026171820504,9.615474606922966,5.869075964874705,0.5967149273267872,7.968346225154531E-4,0.5967149273267871,9.979605150027197E-4
Track_44,44,44,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,5.902098613048209,135.5581268960864,6809.23787292362,0.0,0.0019081356585836584,0.0030917924816528104,3.294308205728204E-4,0.0025122449088575494,0.0011086222897045458,1.9452778782163347,13.739745206609348,7.516407743219699,0.4295639056107876,8.196662059364086E-4,0.42956390561078756,0.0013763138337351342
Track_45,45,45,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,3.875158443504517,508.1768898915288,6803.740186789585,0.0,9.153215650267302E-4,0.002697613841253879,2.079508820674327E-4,7.019111388835462E-4,8.925425546054724E-4,1.7898283004760742,6.590875773956825,4.275571058457783,0.5879580463065032,5.381706791153273E-4,0.5879580463065033,0.0011304664350680652
Track_46,46,46,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,11.510900984850114,716.9681973547792,6819.759125342221,0.0,0.003351427520603755,0.005991934275870731,8.938350010673467E-4,0.003356450132199208,0.0016860380228121855,1.5763039929526192,24.1323304264927,11.530016241317538,0.4769908575515499,0.0015986002870746502,0.47699085755155,0.0014760514436799725
Track_47,47,47,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,6.274477276545289,545.023418749272,6814.454609837762,0.0,0.0012311501622425153,0.0022850059627743677,4.804889967975853E-4,0.0011825120124999637,7.236833419437124E-4,1.870234523500715,8.86503507452077,6.737897328753534,0.7077780543225293,8.713810664108736E-4,0.7077780543225292,9.468566423303015E-4
Track_48,48,48,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,10.973697796773067,197.2715573544453,6820.132810922304,0.0,0.00201202671390246,0.004404650058564032,6.596726847770646E-4,0.002309162843795124,0.0014700195004854989,1.7812021119253976,14.487824423569016,10.973697796773067,0.7574427654521327,0.0015239950783418458,0.7574427654521325,0.0012707062945526396
Track_49,49,49,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,4.992554495097553,626.0821418289146,6815.5323905828245,0.0,0.0022658029638430817,0.003586565802415503,4.288303401967623E-4,0.0030010620851271892,0.001325291883677606,1.7455304861068726,16.315168825413647,5.834537871655483,0.306006915927269,6.933513770644868E-4,0.306006915927269,0.0013773008486773508
Track_50,50,50,6,0,0,0,0,0,6000.5102995,1200.1020599,7200.6123594,10.96827303126333,172.59616771593895,6827.605205997227,0.0,0.004236068895259031,0.007428863608379114,0.0017370884060574634,0.004054946363234177,0.002173802337557847,1.811682363351186,25.4185750353934,11.254142670198492,0.43150621212994267,0.0018278900433146953,0.43150621212994267,0.0018844084371685626
Track_51,51,51,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,13.025773406920234,373.0591411320517,6832.722931661127,0.0,0.006242466710019571,0.011335335521157622,5.963773153216358E-4,0.010852680747106472,0.005450444715576417,1.791414431163243,44.94958294530998,13.025773406920234,0.28978630174986614,0.0018089813416932255,0.28978630174986614,0.0013401495628247693
Track_54,54,54,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,7.002352264318302,694.6689704145684,6862.546463404003,0.0,0.0022501420132931527,0.003497231504271819,6.614871537707957E-4,0.0027765064915001325,0.0012560842755748884,1.8267317840031214,16.202400391323874,9.049808201190329,0.43217992983730663,9.724662174290106E-4,0.43217992983730663,0.001171565925806779
Track_55,55,55,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,5.029517332189696,198.08059835362158,6860.696495412487,0.0,0.0023424195541665127,0.00486203277700751,0.0010463124772160254,0.002070945830263031,0.0013814639154383975,1.762269071170262,16.86685519263163,7.008002927396606,0.2981893942142141,6.984846678524418E-4,0.2981893942142141,0.0014535214651309927
Track_56,56,56,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,6.38278836775356,296.8976358574235,6887.597700198577,0.0,0.0017366292134442097,0.003865222477726486,3.7460762421300946E-4,0.00161368024822252,0.001237872532002582,1.773686477116176,12.50479377802148,7.462718869733816,0.5104273193990609,8.864229942084278E-4,0.510427319399061,0.0010725830311982857
Track_57,57,57,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,8.34941206466809,710.2686700791664,6885.510329162529,0.0,0.001720074598248926,0.0034838591924182868,7.402904993637323E-4,0.0015711808244122652,0.0010528960667487784,1.7791791984013148,12.385590411241207,8.34941206466809,0.674123056506869,0.0011595419455913908,0.6741230565068691,0.0016407602801447533
Track_58,58,58,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,5.079075561641772,132.30438283498398,6895.584150798194,0.0,8.886758287259867E-4,0.001788282050073404,4.6716403451523236E-4,6.310225943039822E-4,5.532898921910535E-4,1.7954033783503942,6.39901015582438,5.079075561641772,0.7937283170302202,7.053671699201138E-4,0.7937283170302204,0.0010413868999774687
Track_60,60,60,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,4.1798676825199355,700.5723346881647,6928.829580513669,0.0,0.0016243611298413629,0.003542265669579126,6.621521811807758E-4,0.0014940521930460514,0.0010336737194534327,1.8676348243440901,11.696394827664667,5.389173442986235,0.35736376414325427,5.804878076880989E-4,0.3573637641432543,0.0014325377759797653
Track_64,64,64,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,6.222831676386084,331.9871081649454,6946.762898076672,0.0,0.001036800954424905,0.002658825905542615,5.648617947361285E-4,6.711925080154763E-4,8.170803145648471E-4,2.0328555958611623,7.465601766669687,6.564503321952544,0.833533835700697,8.642086763999346E-4,0.8335338357006971,7.207462033231389E-4
Track_65,65,65,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,9.055529526964918,257.4743080200031,6942.758543230091,0.0,0.003016443585541617,0.004841419532079372,6.573527564883107E-4,0.004478053443487887,0.0019223128041589896,1.8366064514432634,21.720240963483818,9.055529526964918,0.416916623631806,0.0012576054750598295,0.4169166236318059,0.0015275323273535508
Track_67,67,67,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,4.775246956437954,666.2320388633359,6949.414096268898,0.0,0.0013499365851336119,0.002734149444363184,5.413481511512262E-4,0.0015108079572730005,8.27016146646759E-4,1.7037324053900582,9.720370059319315,5.494625738902483,0.491261847779111,6.631723411973613E-4,0.49126184777911097,0.0015390610551543967
Track_72,72,72,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,6.8935348051747525,382.62912018330024,6989.395946672228,0.0,0.0012356030817841925,0.0026644874328629006,1.4582296327129833E-4,9.92345238140741E-4,9.97731168551699E-4,1.9077893665858678,8.897098822007987,6.8935348051747525,0.7748070402593269,9.573539667325134E-4,0.774807040259327,0.001158766308006542
Track_73,73,73,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,6.505394247385109,181.67293496647173,6987.641204562211,0.0,9.788502029526348E-4,0.0021801846871530497,3.3219963362458903E-4,7.078272601771986E-4,7.152498725128573E-4,1.9903897047042847,7.04832086938194,6.505394247385109,0.9229707852326479,9.034501404443301E-4,0.9229707852326479,6.586977584589836E-4
Track_74,74,74,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,7.208872381012707,152.32348229521386,7003.087408939961,0.0,0.0012576936701658042,0.002477728926765591,5.997884484064625E-4,9.017986913843687E-4,7.776951551993616E-4,1.71254563331604,9.056164585735036,7.208872381012707,0.7960182605744466,0.0010011471276608751,0.7960182605744465,0.0010194712098595903
Track_75,75,75,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,4.481126117445096,345.1971574453904,6992.1434185764565,0.0,0.0018439333469339818,0.0029808625685901428,6.2953731435267E-4,0.00242375755203286,9.798947503278097E-4,1.6051180703299386,13.27744924784264,7.24071473685968,0.3374990206174731,6.223256986741182E-4,0.33749902061747317,0.001579721358795847
Track_77,77,77,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,6.5604282186906975,395.3641475476128,7033.384207245806,0.0,0.0017824983717010315,0.0026540931471874447,5.778742915732238E-4,0.002207999181930778,8.187855077538413E-4,1.8268863643918718,12.835079805880822,6.9142562339552684,0.5111326394468398,9.110930975372424E-4,0.5111326394468398,0.0013372957410004644
Track_78,78,78,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,11.170785966971767,424.61661845771107,7052.649546091251,0.0,0.002014569440567906,0.004616106475234845,1.8276671835596144E-4,0.002318455175569203,0.0015804872156021676,1.9272048132760184,14.506133612622808,11.170785966971767,0.770073285224071,0.0015513661074101463,0.7700732852240711,9.568800277067274E-4
Track_80,80,80,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,7.869171337534248,242.1617349565989,7065.305581282975,0.0,0.0013600451699579469,0.002948198359493479,5.930677915843725E-4,0.0012737439998175449,9.509670970514105E-4,1.8628146989004952,9.793158060141467,7.869171337534248,0.8035376626424606,0.001092847516956177,0.8035376626424608,0.0012001680243968395
Track_81,81,81,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,3.1945808688770123,297.77271258027093,7055.137372556399,0.0,0.004608517247065493,0.008311272876222882,1.7810074232373782E-4,0.005955783330270943,0.0035745679479092744,1.7263514825275965,33.18414624772785,9.424668201696816,0.09626828561532597,4.436540546036566E-4,0.09626828561532595,0.0014612412505025103
Track_85,85,85,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,6.8153482599118895,288.3191060207684,7086.071927412523,0.0,0.0016574588922349857,0.003207762122559644,5.350560511622899E-4,0.0017057383114100196,9.819816472500737E-4,1.8535795211791992,11.934718984624672,6.8153482599118895,0.5710522609448958,9.46495647834011E-4,0.5710522609448958,0.0018294400924240995
Track_86,86,86,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,5.513899948236213,367.34633963996674,7092.070391385795,0.0,0.0012813214935395324,0.002786956353600692,5.759316856825404E-4,0.0012849703865607796,8.802380606034504E-4,1.8842844452176775,9.226299382745623,7.054284808309439,0.5976285528462172,7.657543099147843E-4,0.5976285528462171,9.553833885628325E-4
Track_88,88,88,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,5.688248311245205,396.0748479070243,7107.945639614611,0.0,0.0011003287014924527,0.0019472028917460512,5.742271745842379E-4,0.0012002034343751428,5.272436521122538E-4,1.8299613680158342,7.923040447369109,6.095337390705593,0.7179375580663634,7.89967301019824E-4,0.7179375580663634,8.501298969354476E-4
Track_89,89,89,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,4.701985839966041,272.5034540772467,7102.014178161144,0.0,0.0013637603184848124,0.0025942950618240306,3.4493884684744914E-4,0.0018931718735507952,9.756005524913631E-4,1.9119808844157629,9.81990940454102,6.523171701070689,0.47882171273308305,6.529980514543127E-4,0.47882171273308305,0.0015225079919941181
Track_90,90,90,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,10.330971127994536,307.36123221573587,7128.038014223036,0.0,0.006742420669353163,0.012333283097363796,7.691464338636414E-4,0.012196681307138725,0.006050686155302128,1.6054504939488001,48.54955760401841,12.367729323105998,0.2127922814921685,0.0014347350770116136,0.21279228149216853,0.001649033664405699
Track_91,91,91,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,6.86800944057004,329.97867941473186,7112.014581981364,0.0,0.0015327441590155852,0.002402433990117002,5.201418987463282E-4,0.0016031454328184758,7.522612800360082E-4,1.5022139038358415,11.036696535205781,6.86800944057004,0.622288509850922,9.538090786965132E-4,0.6222885098509221,0.0013115437542240392
Track_92,92,92,7,0,0,0,0,0,7200.6123594,0.0,7200.6123594,6.651844350272456,205.75325758457925,7173.017004713178,0.0,0.0016257906932066776,0.0024663111154170064,6.518057526069988E-4,0.001980130839766541,7.54121484217659E-4,1.9101894753319877,11.706688559301497,7.01548075245461,0.5682088761972969,9.237887027189906E-4,0.5682088761972969,0.0011941351044016187
