LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID26241,26241,0,0.0377536378800869,224.10094175613716,536.5495879390879,0.0,3598.8151994000004,2,10.0,1,,15.52183486238532,16.0,9.0,21.0,42297.0,2.4601038940437423,0.3706797809428346,3.4125772960813885
ID29186,29186,0,0.03132395073771477,222.081342858007,538.9991773953301,0.0,21592.891196400004,12,10.0,1,,15.257614678899083,15.0,10.0,20.0,41577.0,1.6570007332629844,0.30646773051370296,4.319962759744201
ID34179,34179,0,0.033584993332624435,218.91273538171663,547.7089522958747,0.0,53982.22799100001,30,10.0,1,,16.220183486238533,16.0,11.0,21.0,44200.0,1.7484931532596506,0.31399257524115814,4.433516099526269
ID32068,32068,0,0.031518321484327316,217.40644301213842,546.8018977127354,0.0,41386.3747931,23,10.0,1,,14.836697247706422,15.0,8.0,19.0,40430.0,1.742229473164207,0.3211207958422023,4.139880227803243
ID30664,30664,0,0.03549681603908539,217.5404889253394,543.993062270786,0.0,30589.929194900003,17,10.0,1,,15.943119266055046,16.0,10.0,21.0,43445.0,1.9806501074407485,0.3431334310128111,4.112817157612205
ID25673,25673,0,0.03769258037209511,223.33203551995408,533.3739525689657,0.0,1799.4075997000002,1,10.0,1,,16.154862385321103,16.0,10.0,22.0,44022.0,2.380063431066704,0.3492596318263157,3.5139662968078604
ID29773,29773,0,0.029696552082896233,220.32534762925195,540.3377725255262,0.0,25191.706395800004,14,10.0,1,,14.86348623853211,15.0,9.0,19.0,40503.0,1.6277260970339764,0.2948281711340726,4.158399341231531
ID28302,28302,0,0.028549157083034515,221.00818571695592,541.8205940721277,0.0,17994.075997000004,10,10.0,1,,14.302385321100918,14.0,9.0,18.0,38974.0,1.5667753690472577,0.292132269558471,4.127663589928334
ID35153,35153,0,0.048543862998485565,223.78344891134216,558.6128577942218,0.0,61179.85838980001,34,10.0,1,,18.17467889908257,19.0,3.0,28.0,49526.0,4.8510430340669295,0.4161337799406555,2.201863052538445
ID31508,31508,0,0.03386997431516647,217.4944451929582,545.3584752571999,0.0,35988.15199400001,20,10.0,1,,15.420550458715596,16.0,9.0,21.0,42021.0,1.857442185825117,0.340219654239003,4.215003929324871
ID32341,32341,0,0.029652034863829613,217.67306261386182,547.1004598413132,0.0,39586.96719340001,22,10.0,1,,13.989724770642201,14.0,9.0,19.0,38122.0,1.6428227173848011,0.31936816292346204,4.122627409322327
ID27416,27416,0,0.028323646634817123,220.96341155784393,543.81456307553,0.0,8997.037998500002,5,10.0,1,,14.319633027522936,14.0,9.0,19.0,39021.0,1.6204230282219139,0.28656567472741645,3.936639863746415
ID26524,26524,0,0.027456557378172874,224.21101026667193,540.8803235872726,0.0,5398.222799100001,3,10.0,1,,14.041100917431192,14.0,10.0,18.0,38262.0,1.5370362494671959,0.2842491454258151,4.0438676068580826
ID28893,28893,0,0.030513670295476913,221.1428494335632,540.2785443699211,0.0,19793.483596700004,11,10.0,1,,14.822752293577981,15.0,10.0,19.0,40392.0,1.6525898952534297,0.3086739135879133,4.231187164582288
ID30365,30365,0,0.03896724805235863,217.84480324295842,543.6668166461315,0.0,28790.521595200004,16,10.0,1,,17.47559633027523,18.0,11.0,23.0,47621.0,2.024956912574665,0.34991296488207996,4.474046351333726
ID32605,32605,0,0.03187503665685654,217.51412100548893,547.9570457807185,0.0,43185.78239280001,24,10.0,1,,15.229357798165138,15.0,9.0,20.0,41500.0,1.7066049645988122,0.3166708552038417,4.292491595836478
ID34918,34918,0,0.03365873545408249,218.83883453396717,547.3597598735183,0.0,59380.45079010001,33,10.0,1,,16.29211009174312,16.0,11.0,22.0,44396.0,1.7362296872213323,0.31176197960010954,4.460343083610857
ID28007,28007,0,0.028892146423459053,222.02894806573354,539.9485274501878,0.0,14395.260797600002,8,10.0,1,,14.332477064220184,14.0,9.0,19.0,39056.0,1.669099814959196,0.29248253637735006,3.886370479415076
ID31783,31783,0,0.033122822642326355,217.536103577712,546.0324810343745,0.0,37787.5595937,21,10.0,1,,15.27045871559633,15.0,10.0,20.0,41612.0,1.793657442633418,0.3328137042406984,4.251814671939723
ID35623,35623,0,0.04284694418311119,224.60554892544633,557.2052441510751,0.0,64778.67358920001,36,10.0,1,,17.35816513761468,18.0,3.0,23.0,47301.0,2.922545836267399,0.4051782999507956,3.4252101607201855
ID29480,29480,0,0.03160448744893074,220.5968268818587,541.1760644927457,0.0,23392.298796100004,13,10.0,1,,15.457614678899082,16.0,10.0,20.0,42122.0,1.7590081238624244,0.3027752564278646,4.084656184809765
ID30952,30952,0,0.032919201999902725,217.28653178631706,545.2918955928354,0.0,32389.336794600003,18,10.0,1,,14.874862385321101,15.0,8.0,20.0,40534.0,1.8340001530675065,0.3415729619616365,4.130025883451667
ID25962,25962,0,0.048729728907346725,220.1955666634533,528.5009631303125,0.0,0.0,0,10.0,1,,18.167339449541284,18.0,10.0,27.0,49506.0,3.569824442915056,0.4059887261518206,2.9390474875489976
ID27116,27116,0,0.030100204050540924,219.8214617392078,542.8301587710447,0.0,12595.853197900002,7,10.0,1,,14.929908256880735,15.0,10.0,20.0,40684.0,1.7288274991111614,0.2939749344841397,3.9239178930835417
