LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID19456,19456,0,0.020143035799264908,933.2109511928389,937.4670802246762,0.0,3598.8274892000004,2,10.0,1,,10.077064220183486,10.0,7.0,14.0,27460.0,1.4371074147902922,0.2658870765401496,2.945622269800817
ID20482,20482,0,0.02192981168627739,895.890833910135,915.3655960025412,0.0,12595.896212200001,7,10.0,1,,10.822752293577981,11.0,8.0,15.0,29492.0,1.4102349495722286,0.27616507022831194,3.3215296597761874
ID19206,19206,0,0.022060103714466095,925.6942035338318,935.383578351013,0.0,5398.2412338,3,10.0,1,,10.982385321100917,11.0,8.0,15.0,29927.0,1.4461903083645806,0.27256523631173774,3.2530567133666115
ID21480,21480,0,0.023110095411539078,888.3068765833268,934.4847167647813,0.0,17994.137446,10,10.0,1,,11.028623853211009,11.0,8.0,15.0,30053.0,1.4956823983728729,0.2853250888631075,3.2737002683919068
ID22472,22472,0,0.023838475346565247,878.3720283228308,950.2079243124477,0.0,21592.9649352,12,10.0,1,,11.02605504587156,11.0,8.0,16.0,30046.0,1.6204853802941896,0.29470128171098375,3.0975439805958094
ID20234,20234,0,0.02285063825547695,905.4618997585189,913.6015916608848,0.0,8997.068723,5,10.0,1,,10.991559633027522,11.0,8.0,15.0,29952.0,1.5601975984130287,0.2831964913081579,3.1095992002421458
ID22730,22730,0,0.020968174561858177,870.1937000765143,951.6512080331693,0.0,25191.792424400002,14,10.0,1,,9.90605504587156,10.0,7.0,14.0,26994.0,1.4662064704544981,0.2859230303970909,3.004483093480482
ID19979,19979,0,0.025039158761501312,909.03581737947,922.6750281951531,0.0,7197.654978400001,4,10.0,1,,11.651743119266055,11.0,8.0,16.0,31751.0,1.7045443515701941,0.2965591851144963,3.1270269533859
ID21227,21227,0,0.02301674708724022,893.3995155948819,918.5780224307532,0.0,14395.309956800002,8,10.0,1,,11.267522935779816,11.0,8.0,15.0,30704.0,1.481156206385835,0.2783632791132952,3.3129527390723705
ID22227,22227,0,0.019542677327990532,866.9603006693521,952.0761153563395,0.0,26991.206169000005,15,10.0,1,,9.378715596330276,9.0,7.0,13.0,25557.0,1.3633504640164948,0.281920516205904,3.0257388077710217
ID20980,20980,0,0.022317053750157356,883.381015168153,944.2066986160523,0.0,19793.551190600003,11,10.0,1,,10.627522935779817,10.0,7.0,14.0,28960.0,1.4817707512985983,0.2852575488648962,3.183669753062029
ID19701,19701,0,0.018782252445816994,935.4167462455498,944.8512601550839,0.0,1799.4137446000002,1,10.0,1,,9.297247706422018,9.0,6.0,13.0,25335.0,1.485765716471835,0.2669465554560915,2.6369390456970003
ID21975,21975,0,0.021776404231786728,872.7206656364389,951.3996944283333,0.0,23392.378679800004,13,10.0,1,,10.25394495412844,10.0,7.0,14.0,27942.0,1.5287588292168781,0.28631939896249814,2.9859597794390926
ID20729,20729,0,0.02349936030805111,902.7217155377804,911.2989756506098,0.0,10796.4824676,6,10.0,1,,11.296146788990825,11.0,8.0,15.0,30782.0,1.5347192797790756,0.28616585368405173,3.2753084796241647
ID21726,21726,0,0.023299092426896095,892.0269115106358,924.3107444470332,0.0,16194.723701400002,9,10.0,1,,11.31743119266055,11.0,8.0,16.0,30840.0,1.5249301298777835,0.27919695660446037,3.2396729930558634
ID19458,19458,1,0.031161600723862648,879.2594025607764,941.9920544242763,0.0,3598.8274892000004,2,10.0,1,,12.937981651376147,13.0,8.0,18.0,35256.0,2.2883635037643417,0.3424644956064136,2.884591095842455
ID20484,20484,1,0.02708360366523266,840.7016524664641,940.1404070824925,0.0,12595.896212200001,7,10.0,1,,11.991559633027522,12.0,8.0,16.0,32677.0,1.8268279192453665,0.31819735424524714,3.1690139832072077
ID19205,19205,1,0.030655642971396446,868.4262882594635,933.820237470193,0.0,5398.2412338,3,10.0,1,,13.03302752293578,13.0,9.0,18.0,35515.0,2.1994048323011066,0.33297229655474053,2.960445778110344
ID25670,25670,1,0.021757163107395172,770.3632204527432,1037.63267156322,0.0,50383.584848800005,28,10.0,1,,9.810275229357797,10.0,7.0,14.0,26733.0,1.5379335036554587,0.3067787186585345,2.9949998522691605
ID26311,26311,1,0.023522691801190376,769.9139802055146,1037.8703161096691,0.0,55781.826082600004,31,10.0,1,,10.331743119266054,10.0,7.0,14.0,28154.0,1.655776190941056,0.3172390656670825,3.0055504470319976
ID18954,18954,1,0.02846740372478962,886.6016630389365,950.5728004656582,0.0,0.0,0,10.0,1,,11.286238532110092,12.0,5.0,21.0,30755.0,3.4764116996959977,0.3695516059054962,1.752042794969228
ID22474,22474,1,0.03056773729622364,810.6790745076896,977.2296222455227,0.0,21592.9649352,12,10.0,1,,12.50788990825688,12.0,7.0,18.0,34084.0,2.262757953506612,0.3473671733273968,2.8502224599822763
ID22986,22986,1,0.025533651933073997,780.9199431648733,1028.1478641308424,0.0,30590.0336582,17,10.0,1,,10.645504587155964,10.0,6.0,16.0,29009.0,1.949392524752977,0.33775601038284203,2.757548286036923
ID20235,20235,1,0.026449523866176605,859.9089655819673,933.0309587752821,0.0,8997.068723,5,10.0,1,,11.910091743119265,12.0,8.0,16.0,32455.0,1.8496112697381875,0.3100775250667458,3.048161212223786
