LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_0,0,0,34,0,0,0,0,0,59380.65357180001,0.0,59380.65357180001,4.830001207500345,968.4152421038098,1331.3553328388332,0.0,6.158573027203972E-4,0.004984958167302774,0.0,3.834583205617515E-4,8.977009995770265E-4,0.06368804328581866,36.57000914250307,6.555001638750355,0.13207547169811157,8.133964375552313E-5,0.13207547169811154,7.638303253324693E-4
Track_1,1,1,34,0,0,0,0,0,59380.65357180001,0.0,59380.65357180001,34.105680176742304,844.6283672192777,1300.3752182190376,0.0,0.0022536357797963585,0.01744248957457379,1.3973788287202583E-4,0.001263244928456295,0.0030576294666416217,0.10434054824359276,133.82236551710093,74.33462946934986,0.2548578486485056,5.743567664761972E-4,0.2548578486485056,4.960697084114877E-4
Track_2,2,2,34,0,0,0,0,0,59380.65357180001,0.0,59380.65357180001,106.94074696377348,848.2342463579906,1314.9378891583237,0.0,0.00231377024888105,0.007749880676693335,1.1185789165219661E-4,0.0013838998680404412,0.0020631954131954864,0.0706745509934776,137.39318959354307,108.15670841194161,0.7783555158748514,0.0018009358356836924,0.7783555158748512,3.453675295391791E-4
Track_3,3,3,34,0,0,0,0,0,59380.65357180001,0.0,59380.65357180001,24.043511054705647,12.302797339366684,1358.9894496813038,0.0,0.0011323614819543767,0.007341649019766714,6.647283666114347E-5,2.4273426136414323E-4,0.0015668319940450777,0.08323287854299825,67.24036487798294,27.452451336760266,0.3575755589419535,4.049047898341752E-4,0.35757555894195364,9.601908625842442E-4
Track_4,4,4,34,0,0,0,0,0,59380.65357180001,0.0,59380.65357180001,11.252738925759106,866.5396625903094,1385.484241273256,0.0,0.002026102131215637,0.013109840214117352,3.3250767626363353E-4,0.001301157504891541,0.00232628309338685,0.09250564259641311,120.31126875480146,22.732187972305915,0.09353021576634336,1.8950176949724672E-4,0.09353021576634339,3.5276711297655566E-4
Track_5,5,5,34,0,0,0,0,0,59380.65357180001,0.0,59380.65357180001,136.62084857212295,876.6180398315333,1450.2268198888949,0.0,0.00272379041380795,0.009102497461282794,1.7083741202053674E-4,0.0012662003051370934,0.002699252733701085,0.08741291941088788,161.74045496451967,140.20913791745093,0.844691877502712,0.002300763638563326,0.8446918775027119,4.4482403462372497E-4
Track_6,6,6,34,0,0,0,0,0,59380.65357180001,0.0,59380.65357180001,36.55394657211348,83.16398984814226,1393.8337247296622,0.0,0.0023087500740141056,0.006550949051585982,4.0191074675839406E-4,0.0016094838559669274,0.0015982602536508868,0.08841634651317316,137.0950883288992,41.37961256617948,0.266632065507835,6.155868009757479E-4,0.26663206550783497,6.447839374362579E-4
