LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID10081,10081,7,0.02463357523083687,145.9734702702893,1665.4420127883427,0.0,1799.4137446000002,1,10.0,1,,15.862385321100918,16.0,12.0,20.0,43225.0,1.3887256456985715,0.19999485199639278,3.807338312975083
ID10625,10625,7,0.019583964720368385,143.43651693503205,1668.6567546218755,0.0,7197.654978400001,4,10.0,1,,14.446605504587156,15.0,11.0,17.0,39367.0,1.0133979676639735,0.171170983333561,4.167020355999108
ID11169,11169,7,0.020175062119960785,147.52565225793242,1667.4508869025394,0.0,10796.4824676,6,10.0,1,,14.542752293577982,15.0,12.0,17.0,39629.0,1.0835625010854246,0.17518373435534126,4.001387799776796
ID13059,13059,7,0.019436120986938477,154.24060982804454,1666.3533812863968,0.0,23392.378679800004,13,10.0,1,,14.207706422018349,14.0,11.0,17.0,38716.0,1.053704423529216,0.1711700992032732,3.941332670896367
ID13549,13549,7,0.02098124846816063,157.17699351837908,1663.4534410385195,0.0,25191.792424400002,14,10.0,1,,14.831926605504588,15.0,12.0,18.0,40417.0,1.1124417167529146,0.179283625017202,4.053896471066796
ID9488,9488,7,0.026508314535021782,146.36524785228946,1664.0906192166708,0.0,0.0,0,10.0,1,,14.043302752293577,14.0,10.0,20.0,38268.0,2.146855970076119,0.23510154142325157,2.4902856042643546
ID12272,12272,7,0.01891869492828846,144.99135883278183,1669.9696351656974,0.0,17994.137446,10,10.0,1,,14.07302752293578,14.0,11.0,16.0,38349.0,0.9967766557851588,0.16704426311832166,4.041698482334273
ID11730,11730,7,0.019449403509497643,146.80491009482944,1670.709287462149,0.0,14395.309956800002,8,10.0,1,,14.379816513761467,14.0,11.0,17.0,39185.0,1.0152815318591435,0.16948328385062217,4.1051563781186085
ID12531,12531,7,0.019462967291474342,148.35149617307525,1672.276313040389,0.0,19793.551190600003,11,10.0,1,,14.223119266055045,14.0,11.0,17.0,38758.0,1.0536879304898121,0.1712207552280091,3.9466670549958836
ID9785,9785,7,0.019884610548615456,144.76786549493485,1668.0517821080064,0.0,5398.2412338,3,10.0,1,,15.162201834862385,15.0,12.0,18.0,41317.0,1.0106457548386634,0.16349228604617247,4.21625696162381
ID12795,12795,7,0.02075871452689171,151.28929015812338,1668.0833604368975,0.0,21592.9649352,12,10.0,1,,14.808073394495413,15.0,12.0,17.0,40352.0,1.1307058574924684,0.17743661881858305,3.9471590504193106
ID11452,11452,7,0.019723832607269287,148.49677450978137,1668.0871243476956,0.0,12595.896212200001,7,10.0,1,,14.538715596330276,15.0,11.0,17.0,39618.0,1.080321494642563,0.16896676418384662,3.890470648656654
ID11998,11998,7,0.02001863718032837,144.96544154708184,1671.010147226244,0.0,16194.723701400002,9,10.0,1,,14.57137614678899,15.0,11.0,18.0,39707.0,1.078315046947489,0.1722368987662138,3.9709617974009217
ID12289,12289,13,0.02703901194036007,158.75974225651092,1822.6809537001116,0.0,17994.137446,10,10.0,1,,16.320733944954128,16.0,12.0,21.0,44474.0,1.5603002615076835,0.22047746848688932,3.7791658107634722
ID17220,17220,13,0.023832252249121666,127.87844070512597,1821.1811451093706,0.0,55781.826082600004,31,10.0,1,,13.859816513761468,14.0,9.0,18.0,37768.0,1.466769691881553,0.22763898139872255,3.5043018863748663
ID12549,12549,13,0.02935170754790306,154.02369679741702,1819.3977206236518,0.0,19793.551190600003,11,10.0,1,,17.17467889908257,17.0,12.0,22.0,46801.0,1.7210851044823867,0.22864594060466273,3.7140951117157917
ID15432,15432,13,0.02128199115395546,127.08276083651903,1820.0650346975394,0.0,41386.51612580001,23,10.0,1,,14.102385321100918,14.0,11.0,18.0,38429.0,1.1827247864525494,0.19459126401209093,3.8845693456007053
ID9803,9803,13,0.03814181312918663,151.98691948617952,1820.2367279674966,0.0,5398.2412338,3,10.0,1,,17.697614678899082,18.0,11.0,24.0,48226.0,2.6496913692366513,0.3060718418935375,3.1304426390293543
ID14283,14283,13,0.02538914419710636,125.9049118257726,1819.5240578971018,0.0,32389.447402800004,18,10.0,1,,15.504954128440367,16.0,11.0,19.0,42251.0,1.4057756779463804,0.22092289468757528,3.9915074446874614
ID16779,16779,13,0.02466379664838314,127.04648807995282,1818.5581510693928,0.0,50383.584848800005,28,10.0,1,,14.083302752293578,14.0,10.0,18.0,38377.0,1.508187429589347,0.23360889994447234,3.5366418753231508
ID12814,12814,13,0.029344331473112106,148.52953541017354,1832.029556785749,0.0,21592.9649352,12,10.0,1,,17.813211009174314,18.0,13.0,22.0,48541.0,1.5332732068196697,0.22210018760333225,4.222744219188641
ID13327,13327,13,0.02772289700806141,129.5529752840399,1829.7560243501644,0.0,26991.206169000005,15,10.0,1,,15.845504587155963,16.0,11.0,20.0,43179.0,1.7192822657284506,0.2385409706040678,3.5501073870151907
ID11472,11472,13,0.028470171615481377,154.9047617640292,1836.5389984700296,0.0,12595.896212200001,7,10.0,1,,16.14018348623853,16.0,11.0,21.0,43982.0,1.8765546573137606,0.2347722057577758,3.270672655762849
ID15888,15888,13,0.023487649857997894,126.63433892157964,1819.324725208694,0.0,44985.343615000005,25,10.0,1,,14.381651376146788,14.0,11.0,18.0,39190.0,1.3295305400695845,0.2154469033642718,3.834817491118752
