LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_0,0,0,15,0,0,0,0,0,25206.937641200002,0.0,25206.937641200002,4.726521475834838,336.44815524806256,639.9401398103806,0.0,0.001009304921454628,0.0024810595072516407,2.899804850446067E-4,9.968121131073814E-4,7.3335169600395E-4,0.3108779867490133,25.441486216063076,10.153599306006875,0.1857800851606947,1.8750875426094905E-4,0.1857800851606947,6.848480306287951E-4
Track_2,2,2,15,0,0,0,0,0,25206.937641200002,0.0,25206.937641200002,2.971049137477556,609.5492280194675,661.3507822757225,0.0,0.0010744748694757043,0.0017545780871127674,3.695869548261708E-4,0.0010390462396368165,4.690398982655968E-4,0.2780085970958074,27.084221031910587,8.047359997143166,0.10969668036518644,1.1786632631730175E-4,0.10969668036518644,7.872342034247251E-4
Track_4,4,4,15,0,0,0,0,0,25206.937641200002,0.0,25206.937641200002,24.84810326371439,560.9427510276911,672.4852616258488,0.0,0.0018861910142859437,0.003996383757963615,7.688220701934914E-4,0.0015600425938241385,9.910982303658674E-4,0.18882901469866434,47.54509927649755,24.84810326371439,0.5226217558030692,9.857644596660917E-4,0.5226217558030691,6.671732066801171E-4
Track_5,5,5,15,0,0,0,0,0,25206.937641200002,0.0,25206.937641200002,26.316059889562204,327.01320308274586,675.7633054517879,0.0,0.0018908103947453021,0.012682116462992664,1.1107566929790905E-4,0.001128830527525071,0.0032205920019015514,0.22889688710371653,47.6615397116776,28.585166407253418,0.5521445603469348,0.0010440006741060594,0.5521445603469349,9.10182575853786E-4
Track_7,7,7,15,0,0,0,0,0,25206.937641200002,0.0,25206.937641200002,7.2877737804369405,594.1819102443735,696.5446550287776,0.0,8.513827290929929E-4,0.002280371371478924,1.5309011803330027E-4,6.169925168767417E-4,6.428298399556268E-4,0.19715044995148975,21.460751361041744,7.2877737804369405,0.3395861429934193,2.8911777718390065E-4,0.33958614299341927,8.894291341934768E-4
Track_9,9,9,15,0,0,0,0,0,25206.937641200002,0.0,25206.937641200002,4.371195417577187,312.407733829825,9.126702144135923,0.0,0.00131200808233915,0.003371824098205147,1.071404802537936E-4,0.0011498038721242639,0.0010104051011712546,0.20045604705810546,33.071705916273345,6.553928606318883,0.1321732670411261,1.7341239462712822E-4,0.13217326704112609,8.537644579972112E-4
Track_10,10,10,15,0,0,0,0,0,25206.937641200002,0.0,25206.937641200002,6.765200160852197,334.4977091848313,13.730331049541963,0.0,8.895852436777301E-4,0.0026730713858976393,1.3574814935327334E-4,5.997979316904187E-4,8.098002301290319E-4,0.2446018526951472,22.423719763916246,8.772724044400032,0.30169839045788505,2.6838643619265655E-4,0.30169839045788494,6.939311558726429E-4
