LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID6272,6272,0,0.21748746931552887,321.65512287364913,84.78975473781594,0.0,1800.4955458000002,1,10.0,1,,70.16660550458715,76.0,13.0,128.0,191204.0,32.72574575252758,0.4735868134483703,1.3781445925492313
ID6400,6400,0,0.19449561834335327,321.96896018630116,85.66582465356134,0.0,3600.9910916000003,2,10.0,1,,67.15633027522935,70.0,12.0,131.0,183001.0,32.700457159226985,0.4642801323851356,1.3023240403118563
ID6144,6144,0,0.1864127218723297,323.6296471036686,85.08690464489639,0.0,0.0,0,10.0,1,,63.143119266055045,69.0,16.0,120.0,172065.0,27.950345259139098,0.4582520711157194,1.4198441797206378
ID7681,7681,0,0.1352696567773819,330.2095107771146,87.20763155014484,0.0,23406.4420954,13,10.0,1,,33.83302752293578,13.0,7.0,131.0,92195.0,38.9028640267927,0.4212642151186401,0.5155479092774157
ID7426,7426,0,0.21771351993083954,324.9908642438786,83.03458331824275,0.0,14403.964366400001,8,10.0,1,,67.60587155963303,59.0,8.0,143.0,184226.0,42.95641469166915,0.531476729166024,1.092346035610987
ID7554,7554,0,0.22294148802757263,325.33306731712867,83.52331756527207,0.0,16204.459912200002,9,10.0,1,,68.27045871559633,58.0,8.0,146.0,186037.0,45.03503152640094,0.6256133879933593,1.1668126049966643
ID6533,6533,0,0.17593392729759216,320.6480905033106,84.48486955363799,0.0,5401.4866374,3,10.0,1,,65.92256880733945,67.0,11.0,131.0,179639.0,34.66361669426404,0.4349412189437772,1.1528868895497126
ID6661,6661,0,0.1821175515651703,322.7536339181746,82.8501031731281,0.0,7201.982183200001,4,10.0,1,,63.03082568807339,54.0,9.0,129.0,171759.0,36.27878577891745,0.43979997291784334,1.061410271425054
ID6789,6789,0,0.18971151113510132,324.16011811040687,82.613233546006,0.0,9002.477729,5,10.0,1,,62.05651376146789,54.0,9.0,130.0,169104.0,36.04425661569741,0.48565646936928414,1.1256207139062515
ID7302,7302,0,0.2194196879863739,327.1677696958053,84.65045953895314,0.0,18004.955458,10,10.0,1,,64.86091743119266,49.0,8.0,148.0,176746.0,47.31010534167051,0.6448571530785145,1.0749654393732089
ID6919,6919,0,0.2107050120830536,324.7458656543429,82.61455597459769,0.0,10802.9732748,6,10.0,1,,66.12256880733945,59.0,9.0,136.0,180184.0,39.87560992043349,0.4971201216794273,1.1012275523349693
ID7049,7049,0,0.20813314616680145,325.03675164550435,82.59214789807963,0.0,12603.468820600001,7,10.0,1,,64.09724770642202,56.0,9.0,136.0,174665.0,40.64869202685435,0.49665854208837906,1.0465451809652038
ID7180,7180,0,0.1959284394979477,330.30348999567326,88.33113050750057,0.0,19805.4510038,11,10.0,1,,43.79522935779816,18.0,8.0,147.0,119342.0,44.033109530691306,0.4821540027559232,0.6470977511681146
ID7802,7802,0,0.14097560942173004,330.7202582120466,87.69723680236571,0.0,21605.9465496,12,10.0,1,,34.88880733944954,15.0,8.0,129.0,95072.0,39.156465891097824,0.4100855555630645,0.5182527801747272
ID7682,7682,2,0.14319513738155365,311.1455369927788,101.00843917526198,0.0,23406.4420954,13,10.0,1,,28.83889908256881,12.0,7.0,127.0,78586.0,35.39199551883375,0.4434010491654275,0.5006259094837979
ID6147,6147,2,0.16671086847782135,309.74144952196417,101.19010610814128,0.0,0.0,0,10.0,1,,43.33761467889908,28.0,8.0,124.0,118095.0,30.407169546014636,0.4106474897142696,0.8297928260598058
ID6276,6276,2,0.1906472146511078,309.57341738969683,101.80432207089991,0.0,1800.4955458000002,1,10.0,1,,47.77651376146789,31.0,8.0,130.0,130191.0,36.66942101963307,0.3967632749908419,0.7401999608456803
ID6404,6404,2,0.1944866180419922,309.631018996565,102.08866914097436,0.0,3600.9910916000003,2,10.0,1,,47.65761467889908,31.0,8.0,130.0,129867.0,37.80620241059006,0.4123192887950902,0.7360376052215877
ID7430,7430,2,0.18934684991836548,311.6782584181466,102.17549342195419,0.0,14403.964366400001,8,10.0,1,,45.12220183486239,30.0,7.0,136.0,122958.0,40.163790515482695,0.41222541001455826,0.6558678208855029
ID7558,7558,2,0.12562431395053864,310.7191039893069,101.58535446717359,0.0,16204.459912200002,9,10.0,1,,29.257981651376145,12.0,7.0,136.0,79728.0,37.22744139925234,0.2540157669575078,0.3183969124655369
ID6537,6537,2,0.204672709107399,308.9590607779575,102.20447581904364,0.0,5401.4866374,3,10.0,1,,48.89137614678899,33.0,7.0,131.0,133229.0,38.91419005602443,0.4457504464774328,0.7747341738500524
ID6666,6666,2,0.21775291860103607,309.7397780672197,102.31558571638693,0.0,7201.982183200001,4,10.0,1,,49.103853211009174,33.0,8.0,134.0,133808.0,41.0293026332965,0.5062540977480826,0.8044920248739483
ID6794,6794,2,0.20646542310714722,311.0353555286367,102.06005960546429,0.0,9002.477729,5,10.0,1,,46.8245871559633,32.0,7.0,134.0,127597.0,40.46381313614788,0.4886570341516803,0.7597079079844616
ID7306,7306,2,0.1375575065612793,311.08123796705786,101.45996363555894,0.0,18004.955458,10,10.0,1,,29.076330275229356,12.0,7.0,136.0,79233.0,37.06653601639958,0.37235812855385125,0.4256777664215186
