LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_0,0,0,14,0,0,0,0,0,23406.4420954,0.0,23406.4420954,6.913182231633892,325.23736787407177,84.65298239030015,0.0,8.187816987062257E-4,0.002685535826525192,1.620375044655101E-4,5.168505443250769E-4,6.980256620136023E-4,0.19266038281576975,19.164766419540516,7.555832175384223,0.3607235319385457,2.953538262439518E-4,0.3607235319385456,6.309825945115712E-4
Track_2,2,2,14,0,0,0,0,0,23406.4420954,0.0,23406.4420954,1.4157911216702541,310.6944101975723,101.76582717153421,0.0,3.2421257746579897E-4,7.334290326277827E-4,7.650609942875923E-5,2.673802162065846E-4,1.9796036340305606E-4,0.17746915455375398,7.5886629210536105,2.6214252323788747,0.18656661079810954,6.0487241755913654E-5,0.18656661079810954,7.510679898950734E-4
Track_3,3,3,14,0,0,0,0,0,23406.4420954,0.0,23406.4420954,8.571146840230412,616.1581130749981,115.55506364520379,0.0,5.443070749535265E-4,0.0011209914233478334,2.8747684931105735E-4,4.1584352635278015E-4,2.759165605426575E-4,0.21213241134371078,12.740292032016269,9.13653942198485,0.6727590559691393,3.661875139030581E-4,0.6727590559691394,4.7086879806221244E-4
Track_4,4,4,14,0,0,0,0,0,23406.4420954,0.0,23406.4420954,4.945029609067757,341.80550562598245,117.18503892841916,0.0,4.212027652628809E-4,0.0010215959213114175,7.603165868152511E-5,4.116082806996723E-4,2.6505119571674596E-4,0.19697470217943192,9.858858135547983,5.602789929622964,0.5015823882521967,2.1126788893898526E-4,0.5015823882521968,8.589705688464996E-4
Track_5,5,5,14,0,0,0,0,0,23406.4420954,0.0,23406.4420954,9.603273001141536,301.12121487493107,121.5780507204003,0.0,5.90477602964536E-4,0.0010961848067350083,1.7575031894265773E-4,4.159179983108685E-4,3.5092270056818515E-4,0.1617218873330525,13.820979822420002,9.603273001141536,0.6948330092750283,4.1028332977735386E-4,0.6948330092750282,3.398905075799837E-4
Track_6,6,6,14,0,0,0,0,0,23406.4420954,0.0,23406.4420954,0.9369623604632984,595.6821088757932,131.1956706738369,0.0,2.106084037673853E-4,3.283882335005497E-4,8.371431042531091E-5,2.1374872916126141E-4,6.975483990517859E-5,0.18420767996992385,4.9295934075859265,1.2964190232261805,0.1900688927045078,4.00301060983308E-5,0.19006889270450775,9.82401526548708E-4
Track_10,10,10,14,0,0,0,0,0,23406.4420954,0.0,23406.4420954,2.196178582902667,307.21814981129586,158.23843004059535,0.0,8.016281825003731E-4,0.0025332585066613,1.1092778647785301E-4,4.737072282725959E-4,7.249842918577094E-4,0.17397106971059526,18.763263635735733,4.467801577380951,0.11704672628059846,9.382795445593483E-5,0.11704672628059849,9.389955194060428E-4
