LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID9472,9472,0,0.2810000777244568,560.1324365519595,429.6397627603259,0.0,1800.4955458000002,1,10.0,1,,87.70385321100918,92.0,14.0,188.0,238993.0,33.91373920522567,0.5949308820134286,1.9292905615849893
ID11072,11072,0,0.329628050327301,559.4257615797476,433.82496548000444,0.0,21605.9465496,12,10.0,1,,91.52660550458715,99.0,13.0,182.0,249410.0,37.81699752005779,0.709116738588208,2.0083357343632566
ID10788,10788,0,0.29379796981811523,558.912902569445,434.9292220030295,0.0,18004.955458,10,10.0,1,,87.29614678899082,89.0,14.0,179.0,237882.0,27.884016189610143,0.6874173580566799,2.5507490061096085
ID10055,10055,0,0.2659064531326294,557.2352619406859,426.9864236955643,0.0,9002.477729,5,10.0,1,,80.7783486238532,82.0,12.0,168.0,220121.0,25.230844077570385,0.6723112428412219,2.5742246864508616
ID11208,11208,0,0.416088730096817,560.8930553478349,435.2505596661991,0.0,23406.4420954,13,10.0,1,,86.64880733944955,71.0,9.0,204.0,236118.0,69.0812289453019,0.7102728429920182,1.0418191598514874
ID10347,10347,0,0.2781616449356079,557.2456829784967,428.3600547931747,0.0,12603.468820600001,7,10.0,1,,83.94238532110091,85.0,13.0,166.0,228743.0,25.156047159654428,0.7028921421564754,2.754675511453118
ID9324,9324,0,0.24825744330883026,562.4375181256628,431.2656701335658,0.0,0.0,0,10.0,1,,83.54752293577981,87.0,13.0,186.0,227667.0,32.9249307221991,0.5182402971850236,1.7323249861124028
ID10641,10641,0,0.2980329096317291,557.8500899308311,433.0763634714235,0.0,16204.459912200002,9,10.0,1,,87.35009174311926,89.0,14.0,180.0,238029.0,26.75651630237297,0.7043257683839862,2.698265999340834
ID9618,9618,0,0.2969003915786743,556.9901623458796,428.40397484045974,0.0,3600.9910916000003,2,10.0,1,,86.01211009174312,89.0,12.0,184.0,234383.0,31.976258862238524,0.6955335286875147,2.2068541651874556
ID9906,9906,0,0.2972128093242645,558.3546883950509,427.954732711525,0.0,7201.982183200001,4,10.0,1,,87.79266055045872,90.0,13.0,182.0,239235.0,29.008605824794678,0.7125782554394107,2.518508897243599
ID10931,10931,0,0.29605740308761597,558.7498614857329,433.12968239103157,0.0,19805.4510038,11,10.0,1,,86.73908256880733,89.0,15.0,174.0,236364.0,28.238661179452887,0.6958837407910806,2.520817066281947
ID10202,10202,0,0.2720654010772705,557.7499574228289,427.9453337286509,0.0,10802.9732748,6,10.0,1,,83.67009174311927,84.0,13.0,168.0,228001.0,25.46470025464911,0.6537116135527068,2.597694629934001
ID10494,10494,0,0.30334988236427307,558.3596070078906,431.3803094887239,0.0,14403.964366400001,8,10.0,1,,87.81064220183487,90.0,14.0,179.0,239284.0,28.02166596321402,0.7092297241599489,2.600576833194719
ID9759,9759,0,0.2967362403869629,559.2327190347538,429.4427229940363,0.0,5401.4866374,3,10.0,1,,88.04477064220184,91.0,14.0,184.0,239922.0,29.672827681844556,0.7055748559068222,2.4549742343400016
ID10497,10497,2,0.21619263291358948,233.54823034543537,446.1317607821525,0.0,14403.964366400001,8,10.0,1,,53.94018348623853,60.0,10.0,114.0,146987.0,24.985585050559557,0.686606383920287,1.7577090517324334
ID11073,11073,2,0.2828556299209595,232.8015407160904,446.5370461904088,0.0,21605.9465496,12,10.0,1,,55.171743119266054,33.0,8.0,168.0,150343.0,45.630336568477034,0.7258817590235873,1.0170630421591624
ID9762,9762,2,0.22411037981510162,224.44269136508618,449.42517400473713,0.0,5401.4866374,3,10.0,1,,55.17321100917431,61.0,11.0,116.0,150347.0,26.207226842378113,0.6933847630556511,1.7240737284712024
ID9475,9475,2,0.22828443348407745,223.77335506899308,448.62419144711964,0.0,1800.4955458000002,1,10.0,1,,55.53651376146789,62.0,11.0,119.0,151337.0,27.12295667125141,0.7014482228169895,1.6882954932282277
ID10790,10790,2,0.26140573620796204,234.41244264792232,447.1403319883751,0.0,18004.955458,10,10.0,1,,55.20477064220184,49.0,9.0,143.0,150433.0,38.50627720239113,0.721444143424819,1.2016689770255164
ID11209,11209,2,0.2861519157886505,232.5860900013617,445.59209258624844,0.0,23406.4420954,13,10.0,1,,52.29467889908257,22.0,8.0,180.0,142503.0,50.16163438512057,0.7296493330380669,0.8795731104974196
ID10059,10059,2,0.2088957279920578,229.57000585913,450.01937330352877,0.0,9002.477729,5,10.0,1,,51.18495412844037,56.0,10.0,113.0,139479.0,24.701453695170397,0.6921022042549577,1.6950926578836214
ID10350,10350,2,0.20732927322387695,233.14178293966557,447.5135357197113,0.0,12603.468820600001,7,10.0,1,,52.01394495412844,59.0,10.0,112.0,141738.0,24.20283740610827,0.6776518898603759,1.7361542571447939
ID9329,9329,2,0.21594387292861938,221.60469122996514,450.6601322556972,0.0,0.0,0,10.0,1,,52.559633027522935,58.0,10.0,122.0,143225.0,26.07044252469775,0.6981043336158967,1.6576387121655034
ID10644,10644,2,0.23564793169498444,233.39659113545923,446.4655760515916,0.0,16204.459912200002,9,10.0,1,,55.268256880733944,59.0,8.0,132.0,150606.0,29.52522568284075,0.7031665973194836,1.5456588265681568
