LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_0,0,0,14,0,0,0,0,0,23406.4420954,0.0,23406.4420954,4.273723184693453,558.8264074797714,430.8278412969797,0.0,0.0010922777555026182,0.0018753422785456992,3.626257370212849E-4,0.0010035628295669184,4.653703448775206E-4,0.29808538619961056,25.566336036265515,6.736127930144947,0.16716212986605639,1.8258747601513324E-4,0.16716212986605639,8.437552639370304E-4
Track_2,2,2,14,0,0,0,0,0,23406.4420954,0.0,23406.4420954,12.09446753964539,229.76745221260762,448.2029504491979,0.0,9.603178563496428E-4,0.0024648803148279545,2.0363449028143983E-4,6.773293868076578E-4,6.551646566647877E-4,0.2358322548014777,22.477624297826573,13.282601036921367,0.5380669851668817,5.167153337679749E-4,0.5380669851668817,7.611924546762494E-4
Track_3,3,3,14,0,0,0,0,0,23406.4420954,0.0,23406.4420954,25.6839418755639,541.5120745901618,460.78647394597294,0.0,0.0017314732415271324,0.005958313255547192,7.359609597461017E-5,0.001142681349033787,0.001972578096415806,0.2133033967443875,40.52762816753936,30.69492810870981,0.6337390821241169,0.001097302262807874,0.6337390821241168,6.7825028185814E-4
Track_4,4,4,14,0,0,0,0,0,23406.4420954,0.0,23406.4420954,10.262380259561638,631.455066662418,466.5569160581974,0.0,0.0011916461811717453,0.002169378224657173,5.121299694294944E-4,0.001140240281624758,4.5089776989357355E-4,0.18782840136970794,27.892197337800997,13.173678459472047,0.3679301467458611,4.384425543076653E-4,0.36793014674586116,5.506991559858061E-4
Track_5,5,5,14,0,0,0,0,0,23406.4420954,0.0,23406.4420954,29.383972231648485,539.8780071829963,484.9385427137328,0.0,0.001909396549217693,0.004027557663942562,7.889995288203785E-4,0.001469735115744796,0.0010424154178905697,0.18365455525262014,44.6921797664205,29.383972231648485,0.6574745824710513,0.0012553796989685686,0.6574745824710512,6.480232851404259E-4
Track_6,6,6,14,0,0,0,0,0,23406.4420954,0.0,23406.4420954,11.07933832198716,578.8457582782335,475.7089021246729,0.0,8.384834133570693E-4,0.0019325474743659649,2.8794994962127687E-4,6.389906719722311E-4,4.830884984752432E-4,0.14080218651465007,19.625913462695586,11.90624186538267,0.5645259948305832,4.733456830743426E-4,0.5645259948305832,7.886524483542873E-4
Track_7,7,7,14,0,0,0,0,0,23406.4420954,0.0,23406.4420954,16.83917225116994,239.49998759690894,480.72753648453175,0.0,0.0011871633885239862,0.0032408381195651987,1.1991664885550377E-4,0.001076978323570699,8.85955656028064E-4,0.22861062522445405,27.787271111265536,16.83917225116994,0.6060030934215412,7.194246858423346E-4,0.6060030934215412,5.67233601861963E-4
